,N°,L,H,rect,≠
226,21.122,165,950,16x8,
227,21.124,240,950,12x12,
228,21.140,200,950,12x12,
229,21.141,275,950,12x12,
230,21.145,195,950,12x12,
231,21.147,200,950,12x12,
232,21.900,,900,"phi30x1,5",
233,21.901,,900,"phi30x1,5",
234,21.902,,900,"phi30x1,5",
235,22.001,36,950,phi14,
236,22.002,36,950,phi14,
237,22.003,30,950,12x12,
238,22.004,30,950,12x12,
239,22.005,35,950,12x12,
240,22.013,30,950,12x12,
241,22.019,36,950,12x12,
242,22.020,36,950,12x12,
243,22.021,30,950,phi12,
244,22.022,24,950,phi12,
245,22.053,50,1000,phi12,
246,22.100,140,950,12x12,
247,22.103,185,950,12x12,
248,22.104,180,950,12x12,
249,22.105,180,950,12x12,
250,22.107,145,950,12x12,
251,22.150,100,800,12x12,
252,22.151,100,800,12x12,
253,22.200,55,800,10x10,
254,22.201,55,800,10x10,
255,22.203,55,800,10x10,
256,22.204,70,800,10x10,
257,22.205,70,800,10x10,
258,22.206,100,800,10x10,
259,22.207,100,800,10x10,
260,22.208,120,800,10x10,
261,22.209,120,800,12x6,
262,23.001,25,950,phi12,
263,23.002,25,950,phi12,
264,23.003,30,950,14x14,
265,23.004,30,950,14x14,
266,23.005,25,950,phi12,
267,23.006,25,950,phi12,
268,23.007,30,950,12x12,
269,23.008,30,950,12x12,
270,23.009,35,950,14x14,
271,23.010,35,950,14x14,
272,23.015,65,950,14x14,
273,23.020,40,950,phi12,
274,23.021,40,950,phi12,
275,23.024,35,950,14x14,
276,23.025,40,950,14x14,
277,23.065,60,950,16x16,
278,23.030,200,800,12x12,
279,23.031,200,800,12x12,
280,24.011,80,1,20x20,
281,24.111,55,200,phi25,
282,24.112,60,1,phi28,
283,24.151,100,200,25x25,
284,24.254,50,1,25x25,
285,,,200,,
286,,,1,,
287,,,200,,
288,,,1,,
289,,,200,,
290,24.255,34,1,25x25,
291,24.257,48,200,25x25,
292,24.259,50,1,25x25,
293,24.266,66,200,25x25,
294,,,1,,
295,,,200,,
296,,,1,,
297,,,200,,
298,30.001,3000,100,40x12,
299,30.001.00,6000,180,40x12,
300,30.001.01,350,,40x12,
301,30.001.04,680,,40x12,
302,,300,,,
303,,400,,,
304,30.002,,,50x14,
305,30.002.00,,,50x14,
306,30.002.01,,,50x14,
307,30.002.02,,,50x14,
308,30.002.03,,,50x14,
309,30.003,,,40x10,
310,30.003.00,,,40x10,
311,30.003.01,,,40x10,
312,30.003.02,,,40x10,
